iter	Passed	Remaining
323	1688	3522
324	1693	3517
325	1699	3513
326	1704	3508
327	1710	3503
328	1714	3497
329	1720	3492
330	1725	3487
331	1731	3483
332	1735	3477
333	1740	3470
334	1746	3467
335	1751	3462
336	1756	3456
337	1762	3451
338	1766	3444
339	1771	3438
340	1775	3431
341	1780	3424
342	1784	3418
343	1789	3412
344	1793	3405
345	1798	3399
346	1802	3392
347	1807	3385
348	1811	3379
349	1816	3373
350	1820	3366
351	1826	3361
352	1830	3355
353	1835	3350
354	1840	3344
355	1846	3339
356	1850	3333
357	1855	3327
358	1859	3320
359	1864	3314
360	1868	3307
361	1873	3302
362	1878	3296
363	1882	3289
364	1887	3283
365	1892	3277
366	1896	3271
367	1901	3265
368	1906	3259
369	1910	3253
370	1915	3247
371	1919	3240
372	1924	3234
373	1928	3228
374	1933	3222
375	1938	3216
376	1943	3211
377	1947	3205
378	1952	3199
379	1957	3193
380	1961	3187
381	1966	3181
382	1972	3176
383	1977	3172
384	1982	3167
385	1987	3162
386	1992	3156
387	1997	3150
388	2001	3144
389	2006	3138
390	2011	3132
391	2015	3126
392	2020	3120
393	2024	3114
394	2029	3108
395	2034	3102
396	2038	3096
397	2043	3090
398	2047	3084
399	2052	3079
400	2057	3073
401	2062	3067
402	2066	3061
403	2071	3055
404	2075	3049
405	2080	3043
406	2085	3037
407	2089	3031
408	2093	3025
409	2098	3019
410	2102	3013
411	2108	3008
412	2114	3005
413	2123	3005
414	2131	3004
415	2140	3004
416	2147	3001
417	2154	2999
418	2161	2996
419	2168	2994
420	2173	2989
421	2178	2983
422	2184	2979
423	2190	2975
424	2195	2969
425	2199	2964
426	2204	2958
427	2209	2952
428	2214	2946
429	2219	2941
430	2224	2936
431	2228	2930
432	2234	2925
433	2238	2919
434	2243	2913
435	2247	2907
436	2252	2902
437	2257	2896
438	2261	2889
439	2266	2884
440	2270	2878
441	2275	2872
442	2279	2866
443	2284	2860
444	2288	2854
445	2293	2848
446	2298	2843
447	2302	2836
448	2307	2831
449	2311	2825
450	2316	2819
451	2320	2813
452	2325	2808
453	2330	2802
454	2334	2796
455	2339	2791
456	2344	2785
457	2348	2779
458	2353	2773
459	2359	2769
460	2364	2764
461	2370	2760
462	2376	2756
463	2382	2751
464	2387	2747
465	2392	2741
466	2396	2735
467	2400	2729
468	2405	2723
469	2409	2717
470	2414	2711
471	2419	2706
472	2424	2700
473	2428	2695
474	2433	2689
475	2437	2683
476	2442	2678
477	2447	2673
478	2452	2667
479	2456	2661
480	2461	2656
481	2466	2650
482	2471	2645
483	2475	2639
484	2480	2633
485	2484	2628
486	2489	2622
487	2493	2616
488	2498	2610
489	2503	2605
490	2507	2599
491	2512	2594
492	2517	2588
493	2521	2583
494	2526	2577
495	2532	2573
496	2536	2567
497	2542	2562
498	2547	2557
499	2552	2552
500	2558	2548
501	2564	2543
502	2569	2539
503	2575	2534
504	2580	2529
505	2585	2523
506	2590	2518
507	2595	2513
508	2601	2509
509	2606	2504
510	2610	2498
511	2615	2492
512	2620	2487
513	2625	2482
514	2629	2476
515	2634	2470
516	2639	2465
517	2643	2459
518	2648	2454
519	2653	2448
520	2658	2444
521	2663	2438
522	2668	2433
523	2673	2428
524	2677	2422
525	2681	2416
526	2686	2410
527	2690	2405
528	2695	2399
529	2699	2394
530	2704	2388
531	2708	2382
532	2713	2377
533	2717	2371
534	2722	2366
535	2727	2360
536	2732	2355
537	2737	2350
538	2742	2345
539	2747	2340
540	2752	2335
541	2756	2329
542	2761	2324
543	2767	2319
544	2772	2314
545	2777	2309
546	2783	2304
547	2788	2300
548	2793	2294
549	2798	2289
550	2804	2284
551	2809	2279
552	2814	2274
553	2819	2269
554	2824	2264
555	2829	2259
556	2833	2253
557	2838	2248
558	2842	2242
559	2847	2237
560	2852	2232
561	2857	2226
562	2862	2221
563	2867	2216
564	2871	2210
565	2875	2205
566	2880	2199
567	2884	2194
568	2889	2188
569	2893	2183
570	2898	2177
571	2902	2171
572	2907	2166
573	2911	2161
574	2916	2155
575	2921	2150
576	2925	2144
577	2930	2139
578	2935	2134
579	2939	2128
580	2944	2123
581	2949	2118
582	2954	2113
583	2960	2108
584	2966	2104
585	2971	2098
586	2977	2094
587	2983	2090
588	2989	2086
589	2995	2081
590	3001	2077
591	3007	2072
592	3011	2067
593	3016	2061
594	3021	2056
595	3025	2050
596	3029	2045
597	3034	2039
598	3038	2034
599	3043	2028
600	3047	2023
601	3052	2018
602	3056	2012
603	3062	2007
604	3066	2002
605	3070	1996
606	3076	1991
607	3080	1986
608	3085	1980
609	3090	1975
610	3094	1970
611	3099	1964
612	3103	1959
613	3108	1954
614	3112	1948
615	3116	1942
616	3121	1937
617	3127	1933
618	3132	1928
619	3137	1923
620	3142	1917
621	3147	1912
622	3151	1907
623	3156	1901
624	3160	1896
625	3165	1891
626	3169	1885
627	3174	1880
628	3178	1874
629	3183	1869
630	3188	1864
631	3193	1859
632	3197	1853
633	3202	1848
634	3207	1843
635	3212	1838
636	3216	1833
637	3221	1827
638	3226	1822
639	3230	1817
640	3235	1812
641	3240	1806
642	3244	1801
643	3249	1796
644	3253	1790
645	3257	1785
646	3262	1780
647	3267	1774
648	3271	1769
649	3276	1764
650	3281	1759
651	3286	1753
652	3290	1748
653	3295	1743
654	3300	1738
655	3304	1732
656	3309	1727
657	3313	1722
658	3318	1717
659	3323	1711
660	3328	1707
661	3334	1702
662	3339	1697
663	3345	1692
664	3350	1687
665	3355	1682
666	3360	1677
667	3365	1672
668	3371	1667
669	3376	1663
670	3381	1658
671	3386	1652
672	3391	1647
673	3396	1642
674	3400	1637
675	3404	1631
676	3409	1626
677	3414	1621
678	3418	1615
679	3422	1610
680	3427	1605
681	3431	1600
682	3436	1594
683	3441	1589
684	3445	1584
685	3450	1579
686	3454	1574
687	3459	1568
688	3464	1563
689	3469	1558
690	3473	1553
691	3479	1548
692	3483	1543
693	3488	1537
694	3492	1532
695	3497	1527
696	3501	1522
697	3506	1517
698	3512	1512
699	3517	1507
700	3522	1502
701	3527	1497
702	3531	1492
703	3536	1486
704	3540	1481
705	3544	1476
706	3549	1470
707	3554	1465
708	3558	1460
709	3563	1455
710	3567	1450
711	3571	1444
712	3577	1439
713	3583	1435
714	3588	1430
715	3593	1425
716	3597	1420
717	3602	1414
718	3606	1409
719	3611	1404
720	3616	1399
721	3620	1394
722	3625	1388
723	3629	1383
724	3633	1378
725	3638	1373
726	3642	1367
727	3646	1362
728	3651	1357
729	3656	1352
730	3660	1347
731	3664	1341
732	3669	1336
733	3674	1331
734	3678	1326
735	3683	1321
736	3688	1316
737	3692	1310
738	3697	1305
739	3702	1300
740	3706	1295
741	3711	1290
742	3717	1285
743	3721	1280
744	3727	1275
745	3732	1270
746	3737	1265
747	3742	1260
748	3747	1255
749	3753	1251
750	3758	1246
751	3763	1241
752	3768	1236
753	3772	1230
754	3777	1225
755	3782	1220
756	3787	1215
757	3792	1210
758	3797	1205
759	3801	1200
760	3806	1195
761	3810	1190
762	3815	1185
763	3820	1180
764	3824	1174
765	3828	1169
766	3833	1164
767	3837	1159
768	3842	1154
769	3846	1148
770	3851	1143
771	3855	1138
772	3859	1133
773	3864	1128
774	3869	1123
775	3874	1118
776	3879	1113
777	3884	1108
778	3889	1103
779	3893	1098
780	3898	1093
781	3903	1088
782	3908	1083
783	3913	1078
784	3918	1073
785	3923	1068
786	3928	1063
787	3933	1058
788	3937	1053
789	3942	1047
790	3947	1042
791	3951	1037
792	3956	1032
793	3960	1027
794	3965	1022
795	3970	1017
796	3975	1012
797	3979	1007
798	3984	1002
799	3989	997
800	3993	992
801	3998	987
802	4002	982
803	4007	976
804	4011	971
805	4016	966
806	4020	961
807	4025	956
808	4029	951
809	4034	946
810	4039	941
811	4045	936
812	4050	931
813	4055	926
814	4062	922
815	4067	917
816	4073	912
817	4078	907
818	4085	902
819	4090	897
820	4095	892
821	4101	888
822	4106	883
823	4112	878
824	4117	873
825	4123	868
826	4128	863
827	4134	858
828	4140	854
829	4146	849
830	4152	844
831	4158	839
832	4163	834
833	4169	829
834	4174	824
835	4180	820
836	4185	815
837	4191	810
838	4196	805
839	4202	800
840	4207	795
841	4212	790
842	4217	785
843	4223	780
844	4228	775
845	4233	770
846	4238	765
847	4244	760
848	4249	755
849	4254	750
850	4260	746
851	4266	741
852	4271	736
853	4275	731
854	4281	726
855	4287	721
856	4292	716
857	4297	711
858	4303	706
859	4308	701
860	4313	696
861	4317	691
862	4322	686
863	4326	681
864	4332	676
865	4336	671
866	4341	665
867	4347	661
868	4353	656
869	4358	651
870	4363	646
871	4367	641
872	4372	636
873	4376	630
874	4381	625
875	4385	620
876	4390	615
877	4394	610
878	4399	605
879	4403	600
880	4408	595
881	4413	590
882	4417	585
883	4422	580
884	4426	575
885	4431	570
886	4436	565
887	4440	560
888	4445	555
889	4450	550
890	4454	544
891	4459	539
892	4464	534
893	4468	529
894	4473	524
895	4478	519
896	4482	514
897	4486	509
898	4491	504
899	4496	499
900	4501	494
901	4505	489
902	4510	484
903	4514	479
904	4519	474
905	4523	469
906	4528	464
907	4533	459
908	4537	454
909	4543	449
910	4550	444
911	4559	439
912	4566	435
913	4570	430
914	4575	425
915	4579	419
916	4584	414
917	4588	409
918	4593	404
919	4598	399
920	4602	394
921	4607	389
922	4611	384
923	4615	379
924	4620	374
925	4625	369
926	4629	364
927	4634	359
928	4638	354
929	4643	349
930	4647	344
931	4652	339
932	4657	334
933	4661	329
934	4666	324
935	4671	319
936	4676	314
937	4681	309
938	4686	304
939	4691	299
940	4696	294
941	4700	289
942	4705	284
943	4709	279
944	4714	274
945	4719	269
946	4724	264
947	4728	259
948	4733	254
949	4738	249
950	4743	244
951	4747	239
952	4752	234
953	4758	229
954	4762	224
955	4767	219
956	4772	214
957	4776	209
958	4781	204
959	4786	199
960	4790	194
961	4795	189
962	4799	184
963	4804	179
964	4808	174
965	4813	169
966	4817	164
967	4821	159
968	4826	154
969	4830	149
970	4834	144
971	4839	139
972	4844	134
973	4848	129
974	4853	124
975	4858	119
976	4862	114
977	4867	109
978	4872	104
979	4877	99
980	4882	94
981	4888	89
982	4894	84
983	4899	79
984	4904	74
985	4910	69
986	4917	64
987	4922	59
988	4927	54
989	4933	49
990	4937	44
991	4942	39
992	4947	34
993	4951	29
994	4957	24
995	4961	19
996	4966	14
997	4970	9
998	4975	4
999	4980	0
