iter	Logloss
0	0.6206960297
1	0.5550863967
2	0.4968666162
3	0.4573115722
4	0.4224809737
5	0.3806190498
6	0.3502071486
7	0.3209836844
8	0.2913546171
9	0.2659956059
10	0.2468844754
11	0.2284125115
12	0.2160924579
13	0.198649532
14	0.1870896611
15	0.1790433238
16	0.1692748344
17	0.1608315707
18	0.1515811598
19	0.1426012162
20	0.1361868784
21	0.1294012346
22	0.1234942843
23	0.1182848557
24	0.1145790293
25	0.1097356185
26	0.1064383574
27	0.103386819
28	0.1002775675
29	0.09736205707
30	0.09544494131
31	0.09382005103
32	0.09112645017
33	0.08868319591
34	0.08741032141
35	0.08533367932
36	0.08408941198
37	0.08227270265
38	0.08052281169
39	0.07928765511
40	0.07823921897
41	0.07712382718
42	0.07638302804
43	0.07496492032
44	0.07429994608
45	0.07353399227
46	0.07289863849
47	0.07206987362
48	0.07141991482
49	0.07042058013
50	0.06943398911
51	0.06914635412
52	0.0684012836
53	0.06774465815
54	0.06736041874
55	0.06658945373
56	0.06591632006
57	0.06527378897
58	0.06466173704
59	0.06421020274
60	0.06387567726
61	0.06321474687
62	0.06278688656
63	0.06237243666
64	0.06205226606
65	0.06164097597
66	0.06128845581
67	0.06101298668
68	0.06065931581
69	0.06031027833
70	0.05994929978
71	0.05956185771
72	0.05925221768
73	0.05893217979
74	0.05862543745
75	0.05833107464
76	0.05809101878
77	0.05781615297
78	0.057529082
79	0.05722930679
80	0.05688438379
81	0.05655199486
82	0.05628840689
83	0.05600417919
84	0.05576263623
85	0.05553303861
86	0.05517426417
87	0.05490274388
88	0.0547343705
89	0.05450797895
90	0.05439109389
91	0.05422761676
92	0.05404047174
93	0.0538610523
94	0.05362442802
95	0.05339963053
96	0.05323511398
97	0.05307690276
98	0.05289353378
99	0.05265825327
100	0.0524649729
101	0.05230337244
102	0.05213604687
103	0.05198838372
104	0.05176677733
105	0.05164140069
106	0.05151594623
107	0.05145465466
108	0.0512648852
109	0.05102129329
110	0.0507927925
111	0.05067244996
112	0.05055394444
113	0.0503537246
114	0.05018749247
115	0.05009719462
116	0.04992300046
117	0.04983456026
118	0.04969378721
119	0.04947452339
120	0.04937865343
121	0.04922895559
122	0.0491339441
123	0.04902705089
124	0.04889041872
125	0.0487919191
126	0.04861675144
127	0.04848967194
128	0.04837146236
129	0.04829341155
130	0.04819330395
131	0.04802254924
132	0.04790027705
133	0.04778618367
134	0.04763062161
135	0.04750640989
136	0.04735049616
137	0.04722048883
138	0.04711958953
139	0.04697733683
140	0.04684071998
141	0.04667556758
142	0.04651865525
143	0.0464188551
144	0.04632301102
145	0.04629377282
146	0.04612806707
147	0.04598490684
148	0.04588744903
149	0.04578283729
150	0.04573570137
151	0.04563858027
152	0.045545817
153	0.04541766594
154	0.04526423525
155	0.04513210367
156	0.04499155522
157	0.04494450875
158	0.04484862698
159	0.04473155593
160	0.04457332967
161	0.04445651102
162	0.04426057024
163	0.04419332046
164	0.04402062233
165	0.04391922978
166	0.04384454771
167	0.0437560156
168	0.0435481637
169	0.04340872179
170	0.04336650722
171	0.04328597192
172	0.04318101261
173	0.04309350401
174	0.04302162894
175	0.04289622206
176	0.04281075425
177	0.042711658
178	0.04265234607
179	0.04249799874
180	0.04243424067
181	0.04235379408
182	0.04220928795
183	0.04207811052
184	0.04201899502
185	0.04194540655
186	0.04193536684
187	0.04186744926
188	0.04174210239
189	0.04167873774
190	0.04163813511
191	0.0415224867
192	0.04142027337
193	0.04135173979
194	0.04122744135
195	0.04113948873
196	0.04100817495
197	0.04087464917
198	0.04084354016
199	0.04078331978
200	0.04068846992
201	0.04056579737
202	0.04048949867
203	0.04041418235
204	0.04038587224
205	0.04028636853
206	0.04021135025
207	0.04014232901
208	0.04006837526
209	0.03997022061
210	0.03991066042
211	0.03987217569
212	0.03978767012
213	0.03968782777
214	0.03964162237
215	0.03953904337
216	0.0394485007
217	0.03932903936
218	0.03926682042
219	0.03918604998
220	0.03908295531
221	0.03895996594
222	0.03894444436
223	0.03889361953
224	0.03880299941
225	0.03874720426
226	0.03868339124
227	0.03859967271
228	0.03852196023
229	0.03845472881
230	0.03832786976
231	0.03823743897
232	0.03817057377
233	0.03803208715
234	0.03796716893
235	0.03792520689
236	0.03788739295
237	0.03785579173
238	0.03774726446
239	0.03765910123
240	0.03758866059
241	0.0374990163
242	0.03742776031
243	0.0373804634
244	0.03730743284
245	0.03723708832
246	0.03713825687
247	0.03707939318
248	0.03706431902
249	0.03701405908
250	0.03689410031
251	0.03685643496
252	0.03679139279
253	0.03672305657
254	0.03666589137
255	0.03659752764
256	0.03651302785
257	0.0364353825
258	0.03635104021
259	0.03632984387
260	0.03625045512
261	0.03616750549
262	0.03611712584
263	0.03605737173
264	0.03593855239
265	0.03584510897
266	0.03577891066
267	0.03573933838
268	0.03568285631
269	0.03562472012
270	0.03559297579
271	0.03552751172
272	0.03546034368
273	0.03542774889
274	0.03540498735
275	0.03536362737
276	0.03530338866
277	0.03527296849
278	0.03523356179
279	0.03515546967
280	0.03507228149
281	0.03501686266
282	0.03497164124
283	0.03490168681
284	0.03481217776
285	0.03479812767
286	0.03473820479
287	0.03466512913
288	0.03461019671
289	0.03451129
290	0.0344532639
291	0.03442828588
292	0.0343725011
293	0.03432853696
294	0.03432093825
295	0.03427059919
296	0.03414784059
297	0.03411160182
298	0.03405869501
299	0.03397223583
300	0.03391667729
301	0.03388922994
302	0.03381275408
303	0.03373072985
304	0.03365428846
305	0.03358752017
306	0.0334730879
307	0.03343734906
308	0.03341829045
309	0.03335589475
310	0.03332226285
311	0.03329596173
312	0.0332712206
313	0.03320104301
314	0.03312532456
315	0.03311169683
316	0.03306722763
317	0.03302311186
318	0.03296273049
319	0.03286113954
320	0.03280306204
321	0.03275019592
322	0.03274089047
323	0.03272745055
324	0.03269939718
325	0.03266784642
326	0.03263470681
327	0.03258774808
328	0.03253468164
329	0.03250981516
330	0.03248221097
331	0.03240445799
332	0.03239368935
333	0.03238166435
334	0.03230567625
335	0.03225589003
336	0.03224770291
337	0.03217876359
338	0.03214791017
339	0.03211401198
340	0.03208872446
341	0.03202061755
342	0.03196817767
343	0.03192478549
344	0.0318551539
345	0.03180288416
346	0.03175508813
347	0.03173870074
348	0.03169292989
349	0.03167229661
350	0.03162957679
351	0.03158388151
352	0.03153507486
353	0.03150123518
354	0.0314947822
355	0.03141772598
356	0.0313545262
357	0.03132478264
358	0.0312868504
359	0.03123798285
360	0.03119306486
361	0.03113582306
362	0.03108613586
363	0.0310504382
364	0.03098542214
365	0.03093613834
366	0.03089579692
367	0.03088999502
368	0.03088435764
369	0.03078846375
